Form,Temper,tensile_strength,thermal_conductivity,Cu,Pb,Zn,Fe,P,Ag,As,O,Sb,Te,Ni,Bi,Cd,sn,S,Mn,Zr,Mg,Co,Al,Be,Cr,Si,Ti,Ca,Li,B,C
products,1/2 Hard,42,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/4 Hard,38,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/8 Hard,36,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Rolled,34,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Rolled,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Extra Spring,57,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,50,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Nominal Grain Size 0.050 mm,34,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Spring,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Rolled,55,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Hard,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Hard,55,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Hard,45,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Nominal Grain Size 0.050 mm,48,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,As Hot Extruded,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,As Hot Rolled,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,Hard,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
