Name,Form,Temper,Temper Code,Tensile Strength,Thermal ConductivityBtu/ sq ft/ ft hr/ °F at 68°F,Cu(1.2.3,Pb,Zn,Fe,P,Ag,As,O,Sb,Te,Ni,Bi,Cd,sn,S,Mn,Zr,Mg,Co,Al
C10100 Oxygen-Free-Electronic,Flat Products,1/2 Hard,H02,42.0,226.0,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
C10100 Oxygen-Free-Electronic,Flat Products,1/4 Hard,H01,38.0,226.0,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
C10100 Oxygen-Free-Electronic,Flat Products,1/8 Hard,H00,36.0,226.0,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
C10100 Oxygen-Free-Electronic,Flat Products,As Hot Rolled,M20,34.0,226.0,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
C10100 Oxygen-Free-Electronic,Flat Products,As Hot Rolled,M20,32.0,226.0,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
C10100 Oxygen-Free-Electronic,Flat Products,Extra Spring,H10,57.0,226.0,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
C10100 Oxygen-Free-Electronic,Flat Products,Hard,H04,50.0,226.0,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
C10100 Oxygen-Free-Electronic,Flat Products,Nominal Grain Size 0.025 mm,OS025,34.0,226.0,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
C10100 Oxygen-Free-Electronic,Flat Products,Nominal Grain Size 0.050 mm,OS050,32.0,226.0,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
C10100 Oxygen-Free-Electronic,Flat Products,Spring,H08,55.0,226.0,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
